name,committee,role,order,img_path
Leo Lahti,Community,Chair,1,Leo Lahti.jpg
Tuomas Borman,Community,Coordinator,2,Tuomas Borman.jpeg
Annekathrin Nedwed,Community,General member,NA,Annekathrin Nedwed.png
Charlotte Soneson,Community,Scientific program,NA,Charlotte Soneson.jpg
Dania Machlab,Community,Scientific Program,NA,Dania Machlab.jpg
Dario Righelli,Community,General member,NA,Dario Righelli.jpg
Eliana Ibrahimi,Community,"Scientific program, reviewer",NA,Eliana Ibrahimi.png
Federico Marini,Community,General member,NA,Federico Marini.png
James Dalgleish,Community,"Partnerships, reviewer ",NA,James Dalgleish.png
Kevin Rue-Albrecht,Community,General member,NA,Kevin Rue-Albrecht.jpg
Laurent Gatto,Community,General member,NA,Laurent Gatto.jpg
Lieven Clement,Community,General member,NA,Lieven Clement.jpeg
Maria Doyle,Community,Communications,NA,Maria Doyle.jpeg
Michael Stadler,Community,"Scientific program, reviewer",NA,Michael Stadler.jpg
Najla Abassi,Community,General member,NA,Najla Abassi.jpg
Nyasita Laurah Ondari,Community,Communications,NA,laurah.png
Robert Castelo,Community,Partnerships,NA,Robert Castelo.jpeg
Robert Ivánek,Community,General member,NA,Robert Ivanek.jpg
Leo Lahti,Local,Chair,1,Leo Lahti.jpg
Tuomas Borman,Local,Co-chair,2,Tuomas Borman.jpeg
Julia Mathlin,Local,"Partnerships, Communications",NA,julia_mathlin.jpeg
Teemu Daniel Laajala,Local,Partnerships,NA,TDLaajala.jpg
Anna Kaisanlahti,Local,Partnerships,NA,anna_kaisanlahti.jpg
Minna Vulli,Local,Partnerships,NA,NA
